key,ra,dec,name,host,confirmed_real,confirmed_dwarf,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,ref_metallicity_photometric,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,ll,bb,sg_xx,sg_yy,sg_zz,distance_gc,distance_m31,distance_lg,distance_host,mass_HI,mass_HI_ul,metallicity,metallicity_em,metallicity_ep,metallicity_type,velocity_gsr,velocity_lg,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,surface_brightness_rhalf
reticulum_2,53.9203,-54.0513,Reticulum II,lmc,1,1,6.3,0.4,0.4,68.0,2.0,2.0,0.6,0.1,0.1,,MutluPakdil2018ApJ...863...25M,17.5,0.1,0.1,MutluPakdil2018ApJ...863...25M,14.4,0.1,0.1,MutluPakdil2018ApJ...863...25M,64.3,1.2,1.2,3.6,0.7,1.0,,Walker2015ApJ...808..108W,2.377,0.024,0.023,-1.379,0.025,0.026,Pace2022ApJ...940..136P,-2.65,0.07,0.07,0.28,0.09,0.09,,Simon2015ApJ...808...95S,,,,,,,,5.59,0.21,0.21,0.6,0.05,0.05,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.6,Putman2021ApJ...913...53P,-3.0999999999999996,0.1,0.1,3.4730299956639814,31.622776601683793,1.4232593976636636,1.4903355465753556,266.3006675822484,-49.73761354161472,-12.842476024820572,-22.23433775118083,-18.4581969411512,32.975545355566396,783.5750777837562,396.0258235805202,22.566283228714365,,2.1503265364987074,-2.65,0.07,0.07,spectroscopic,-100.57261676013205,-121.21787077167922,435565.36675705086,188079.81833839222,237776.80988706264,,57.847724985755605,4.607287858487943,4.563537837926333,36.06269406297388,5.464982316279404,5.001889617904062,28.25590305850274
reticulum_3,56.36,-60.45,Reticulum III,mw,1,1,2.4,0.8,0.9,,,,,,,0.4,DrlicaWagner2015ApJ...813..109D,19.81,0.31,0.31,DrlicaWagner2015ApJ...813..109D,16.51,0.29,0.29,DrlicaWagner2015ApJ...813..109D,274.2,7.45,7.45,,,,8.3,Fritz2019A&A...623A.129F,0.26,0.144,0.14,-0.502,0.226,0.222,Pace2022ApJ...940..136P,-2.81,0.29,0.29,0.35,0.09,0.21,,Fritz2019A&A...623A.129F,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,Putman2021ApJ...913...53P,-3.299999999999997,0.29,0.29,3.55302999566398,91.62204901219992,12.189225539771712,14.05970190916571,273.8781906554428,-45.64775446968146,-46.466535257144905,-60.26404268493036,-51.0265237465709,91.59801460657079,809.7679584924249,425.9105952047896,91.59801460657079,,2.9951452904510822,-2.81,0.29,0.29,spectroscopic,97.94895514445648,69.62063891096327,,,,4098042.8222700935,62.937618624426406,24.96407666077402,28.531188615866114,62.15360579670343,22.28386809875574,25.635333884314903,29.237944473904307
sagittarius_1,284.095116792971,-30.549906,Sagittarius,mw,1,1,342.0,12.0,12.0,102.0,2.0,2.0,0.64,0.02,0.02,,McConnachie2012AJ....144....4M,17.1,0.15,0.15,McConnachie2012AJ....144....4M,3.6,0.3,0.3,McConnachie2012AJ....144....4M,140.0,2.0,2.0,11.4,0.7,0.7,,McConnachie2012AJ....144....4M,-2.679,0.001,0.001,-1.394,0.001,0.001,An2024MNRAS.532.3713A,-0.53,0.02,0.03,0.17,0.02,0.02,,Simon2019ARA&A..57..375S,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,Putman2021ApJ...913...53P,-13.500000000000002,0.3,0.3,7.633029995663982,26.302679918953814,1.755590762103477,1.8811493936907375,5.657440029919559,-14.376894712630895,-16.953553135444537,-8.584974751490396,18.18532967858618,18.599281722622855,784.4540474407655,396.7006950993853,18.599281722622855,,2.0754981462355198,-0.53,0.02,0.03,spectroscopic,173.9565520693783,159.63104167858742,188765714.61696935,26476789.2163423,30259550.71261081,,2616.350215272463,203.99734629065006,202.95048643047085,1557.4491541057535,119.50214183172079,136.21180449636358,26.03014857550827
sculptor_1,15.0183,-33.7186,Sculptor,mw,1,1,11.17,0.05,0.05,92.0,1.0,1.0,0.33,0.01,0.01,,Munoz2018ApJ...860...66M,19.62,0.04,0.04,MartinezVazquez2015MNRAS.454.1509M,8.85,0.14,0.14,Munoz2018ApJ...860...66M,111.4,0.1,0.1,9.2,1.1,1.1,,Walker2009AJ....137.3100W,0.1,0.002,0.002,-0.158,0.002,0.002,Pace2022ApJ...940..136P,-1.73,0.02,0.03,0.44,0.02,0.02,,Simon2019ARA&A..57..375S,7.03,0.05,0.05,74.1,0.4,0.4,Munoz2018ApJ...860...66M,12.33,0.05,0.05,1.16,0.01,0.01,Munoz2018ApJ...860...66M,,,,,,,,,,,,1.84,Putman2021ApJ...913...53P,-10.770000000000001,0.14,0.14,6.541029995663982,83.94599865193982,1.5321871506395155,1.5606726365285937,287.6961140461624,-83.15235602609387,-8.69626153928056,-82.295198656351,-14.099858262537131,84.04448493739007,758.9955345962132,375.3710356447187,84.04448493739007,,3.484993109124601,-1.73,0.02,0.03,spectroscopic,76.24582460707688,96.9306114656931,17610961.15964692,4019626.1163873635,4503081.78168859,,272.6951774988628,5.725094647634478,4.904140546787403,223.36726315394606,4.981695394538718,4.665513330465558,24.545705652178675
segue_1,151.7504,16.0756,Segue 1,mw,1,1,3.62,0.42,0.42,77.0,15.0,15.0,0.33,0.1,0.1,,Munoz2018ApJ...860...66M,16.8,0.2,0.2,Belokurov2007ApJ...654..897B,15.5,0.73,0.73,Munoz2018ApJ...860...66M,208.5,0.9,0.9,3.7,1.1,1.4,,Simon2011ApJ...733...46S,-2.102,0.051,0.051,-3.375,0.046,0.044,Pace2022ApJ...940..136P,-2.5,,,,,,,Simon2011ApJ...733...46S,3.24,1.56,1.56,16.4,2.6,2.6,Munoz2018ApJ...860...66M,3.95,0.48,0.48,0.85,0.28,0.28,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.089,Spekkens2014ApJ...795L...5S,-1.3000000000000007,0.73,0.73,2.7530299956639817,22.90867652767775,2.0157152191373378,2.210187787418075,220.47758312163086,50.40896392719059,1.7520528985156527,19.141981518069866,-12.462837335552775,27.76998577127874,785.2202857101474,397.3528145194987,27.76998577127874,,1.0415652927599774,-2.5,,,spectroscopic,106.63566613413471,69.27717445899953,245802.86748108448,142345.22892306966,202243.6348387529,,23.920392045997943,3.522813577957681,3.596428113308214,19.45850995851593,2.95242685973799,3.4337214376477476,28.716160544676715
segue_2,34.8226,20.1624,Segue 2,mw,1,1,3.76,0.28,0.28,164.0,14.0,14.0,0.22,0.07,0.07,,Munoz2018ApJ...860...66M,17.81,0.15,0.14,Boettcher2013AJ....146...94B,15.86,0.88,0.88,Munoz2018ApJ...860...66M,-40.2,0.9,0.9,,,,2.6,Kirby2013ApJ...770...16K,1.446,0.059,0.059,-0.322,0.05,0.049,Pace2022ApJ...940..136P,-2.22,0.13,0.13,0.43,,,,Kirby2013ApJ...770...16K,0.2,0.03,0.03,8.41,1.69,1.69,Munoz2018ApJ...860...66M,3.64,0.29,0.29,0.82,0.16,0.16,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.95,Putman2021ApJ...913...53P,-1.9499999999999993,0.88,0.88,3.013029995663981,36.475394692560734,2.434575722460643,2.4291198068673125,149.44620340870455,-38.14448358760734,28.05146173286215,-21.731332380425037,-8.445063978404665,42.39929554491221,744.6837720614151,356.77093793925775,42.39929554491221,,2.473898891403911,-2.22,0.13,0.13,spectroscopic,44.447123529439324,110.44211210007252,,,,221508.7610438857,39.774042902198666,3.8739117812105093,4.3738189260018245,35.125825088672876,3.573994245751802,4.073602460827125,29.34874516279659
sextans_1,153.2628,-1.6133,Sextans,mw,1,1,16.5,0.1,0.1,57.0,1.0,1.0,0.3,0.01,0.01,,Munoz2018ApJ...860...66M,19.67,0.1,0.1,Lee2009ApJ...703..692L,10.95,0.06,0.06,Munoz2018ApJ...860...66M,224.3,0.1,0.1,7.9,1.3,1.3,,Walker2009AJ....137.3100W,-0.409,0.008,0.009,0.037,0.009,0.009,Pace2022ApJ...940..136P,-1.97,0.04,0.04,0.38,0.03,0.03,,Simon2019ARA&A..57..375S,20.1,0.5,0.5,60.5,0.6,0.6,Munoz2018ApJ...860...66M,17.67,0.17,0.17,0.6,0.01,0.01,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.23,Putman2021ApJ...913...53P,-8.720000000000002,0.06,0.06,5.721029995663983,85.90135215053961,3.8661977175578386,4.0484060024640485,243.49726224095977,42.27355201861598,-17.655727108411927,64.15381003930213,-54.32868725641584,88.914313920997,831.8623421498529,446.1236644292292,88.914313920997,,2.6019031221326574,-1.97,0.04,0.04,spectroscopic,62.641646041911116,6.465568968825238,20013416.696999174,5955572.161527716,7030599.452941939,,413.0196658148681,19.472470379885237,19.683623731057537,346.5706517324589,16.573675825982377,15.089474322248293,27.549560295420026
sextans_2,156.437,-0.631,Sextans II,mw,1,0,4.2,0.5,0.5,-17.0,9.0,9.0,0.43,0.08,0.07,,Homma2024PASJ...76..733H,20.5,0.2,0.2,Homma2024PASJ...76..733H,16.59,0.36,0.37,Homma2024PASJ...76..733H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.91,0.36,0.37,3.7970299956639817,125.89254117941661,11.077179029728214,12.145885280871767,245.32633720477145,45.32232847849301,-27.28917803842128,98.24428637026536,-73.83964302592304,128.51125230904168,860.9642714636316,477.3806550490626,128.51125230904168,,,,,,,,,,,,,152.0639976005115,22.08930427032419,26.251466106832822,116.44289703023577,18.916975024149593,18.452615289735547,29.99117755225796
smc,13.158,-72.8003,SMC,lmc,1,1,59.4,4.1,4.1,,,,,,,,Munoz2018ApJ...860...66M,18.99,0.1,0.1,Cioni2000A&A...359..601C,2.2,0.2,0.2,deVaucouleurs1991rc3..book.....D,145.6,0.6,0.6,27.6,0.5,0.5,,Harris2006AJ....131.2514H,0.83,0.02,0.02,-1.21,0.01,0.01,Zivick2018ApJ...864...55Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476675.0,4145.0,4145.0,,Bruns2005A&A...432...45B,-16.79,0.2,0.2,8.949029995663981,62.805835881331795,2.826728255780914,2.959947854210192,302.808527061477,-44.327666314504704,-43.48532141920428,-42.37607831886922,-16.05826354667088,60.12569756749886,803.9191695960799,417.67920027756304,24.068857212737015,8.646397661354968,,,,,,-2.502338785634805,-34.66305061859617,768646557.0849743,67433203.29947186,70902497.2915256,,1092.1625667136595,91.51939172639254,85.92657519341424,1086.7130625331745,94.25337643070259,87.91238302994702,21.96097092523804
triangulum_2,33.3155,36.1691,Triangulum II,mw,1,1,2.5,0.3,0.3,73.0,17.0,17.0,0.3,0.1,0.1,,Carlin2017AJ....154..267C,17.27,0.11,0.11,Carlin2017AJ....154..267C,15.97,0.25,0.23,Richstein2024ApJ...967...72R,-381.7,1.1,1.1,,,,4.2,Kirby2017ApJ...838...83K,0.575,0.06,0.06,0.112,0.067,0.069,Pace2022ApJ...940..136P,-2.24,0.05,0.05,0.53,0.12,0.38,,Kirby2017ApJ...838...83K,2.1,0.6,0.6,11.8,2.7,2.7,Carlin2017AJ....154..267C,2.0,0.4,0.4,1.45,0.45,0.45,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.58,Putman2021ApJ...913...53P,-1.299999999999999,0.25,0.23,2.753029995663981,28.44461107447914,1.4050274333906785,1.478035291602751,140.89674700699445,-23.83187059470137,25.9700073328718,-11.247123288107682,-2.8560175158902945,34.68499328477102,749.2973644905863,361.20756841695777,34.68499328477102,,2.043603279678001,-2.24,0.05,0.05,spectroscopic,-252.3036801931568,-179.46231083842153,,,,283920.4503664487,20.759308271729495,2.8929736861177275,2.767620959946896,17.051037752314148,2.3563884389312495,2.4460270139084166,28.429366981755656
tucana_2,342.9796,-58.5689,Tucana II,mw,1,1,12.89,1.98,1.71,107.0,18.0,18.0,0.39,0.2,0.1,,Koposov2015ApJ...805..130K,18.75,0.2,0.2,Vivas2020ApJS..247...35V,15.0,0.1,0.1,Koposov2015ApJ...805..130K,-124.7,1.0,1.0,3.8,0.7,1.1,,Chiti2023AJ....165...55C,0.911,0.026,0.024,-1.28,0.029,0.029,Pace2022ApJ...940..136P,-2.77,,,,,,,Chiti2021NatAs...5..392C,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,Putman2021ApJ...913...53P,-3.75,0.1,0.1,3.7330299956639816,56.23413251903491,4.947994119898432,5.4253676671133135,328.0862902061551,-52.324818542593384,-33.77001253392257,-44.94167682494882,1.4524454512820721,52.48177033218513,790.2889631251988,403.98107530140214,52.48177033218513,,2.3035390502740514,-2.77,,,spectroscopic,-203.51795461402065,-217.52276695504355,2111333.869490753,918337.9129593696,1320017.8251001546,,208.7848199370447,33.43887627790116,37.640009854435334,161.93131540096834,35.15709097882207,36.80616141308974,30.867261378858046
tucana_3,359.1075,-59.58332,Tucana III,mw,1,0,5.1,1.2,1.2,25.0,38.0,38.0,0.2,0.1,0.1,,MutluPakdil2018ApJ...863...25M,16.8,0.1,0.1,MutluPakdil2018ApJ...863...25M,15.5,0.2,0.2,MutluPakdil2018ApJ...863...25M,-102.3,0.4,0.4,,,,1.5,Simon2017ApJ...838...11S,-0.048,0.036,0.035,-1.638,0.039,0.039,Pace2022ApJ...940..136P,-2.42,0.08,0.07,,,,0.19,Simon2017ApJ...838...11S,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,Putman2021ApJ...913...53P,-1.3000000000000007,0.2,0.2,2.7530299956639817,22.90867652767775,1.031060288182232,1.0796526625172014,315.4235632068869,-56.190883534828416,-12.739670303976705,-18.871384352247517,-2.5256906828618084,21.05422139152669,781.0594786189338,393.2314391744554,21.05422139152669,,1.8775051211258318,-2.42,0.08,0.07,spectroscopic,-199.56671335891332,-213.46306255065116,,,,63607.26959649471,34.14784719152312,8.449189256771469,8.09825937174731,30.152497883727666,7.7615069565963495,7.123274463441216,29.66722838636388
tucana_4,0.717,-60.83,Tucana IV,mw,1,1,9.3,0.9,1.4,27.0,8.0,9.0,0.39,0.1,0.07,,Simon2020ApJ...892..137S,18.36,0.18,0.18,Simon2020ApJ...892..137S,15.36,0.4,0.3,Simon2020ApJ...892..137S,15.9,1.7,1.8,4.3,1.0,1.7,,Simon2020ApJ...892..137S,0.534,0.053,0.05,-1.707,0.055,0.054,Pace2022ApJ...940..136P,-2.49,0.16,0.15,,,,0.64,Simon2020ApJ...892..137S,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,Putman2021ApJ...913...53P,-3.0,0.4,0.3,3.4330299956639814,46.98941086052151,3.7380277570206246,4.061089137019138,313.3093174848483,-55.30889673856573,-26.67697229288673,-38.19293406605721,-6.135443727168958,44.45198108567713,787.6911786320903,400.84166658792975,44.45198108567713,,2.359627962601251,-2.49,0.16,0.15,spectroscopic,-87.17595527998444,-102.78990145533902,1644747.8323598849,873837.3055756134,1310986.0922309272,,126.54624605278715,17.082578014232155,19.327732811048975,97.46816840992096,15.081053847248086,17.242329955004223,30.514924072868666
tucana_5,354.347,-63.266,Tucana V,mw,1,1,2.1,0.4,0.6,29.0,11.0,11.0,0.51,0.18,0.09,,Simon2020ApJ...892..137S,18.7,0.21,0.21,Simon2020ApJ...892..137S,17.6,0.6,0.5,Simon2020ApJ...892..137S,-34.7,0.8,0.9,1.2,0.6,0.9,,Hansen2024ApJ...968...21H,-0.14,0.05,0.04,-1.18,0.06,0.05,Battaglia2022A&A...657A..54B,-2.84,0.3,0.32,0.43,0.15,0.32,,Hansen2024ApJ...968...21H,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,Putman2021ApJ...913...53P,-1.0999999999999979,0.6,0.5,2.6730299956639807,54.954087385762485,5.065638639761318,5.580000089628875,316.31478974100855,-51.89532779291278,-33.906418709182034,-42.9109800391006,-5.380918397779266,51.84167561612603,792.5599961522346,406.11178746336657,51.84167561612603,,2.5597454622130007,-2.84,0.3,0.32,spectroscopic,-139.74699048525218,-158.89283436251463,29348.2260348504,24718.802174245946,50508.24233820385,,33.2083342121295,7.639122703631404,9.191880819477959,22.564795653800573,5.967670064175284,7.262473421965208,29.237770064580154
ursa_major_1,158.7706,51.9479,Ursa Major I,mw,1,1,8.31,0.35,0.35,67.0,2.0,2.0,0.59,0.03,0.03,,Munoz2018ApJ...860...66M,19.94,0.13,0.13,Garofalo2013ApJ...767...62G,14.8,0.38,0.38,Munoz2018ApJ...860...66M,-55.3,1.4,1.4,7.0,1.0,1.0,,Simon2007ApJ...670..313S,-0.401,0.036,0.036,-0.613,0.042,0.04,Pace2022ApJ...940..136P,-2.16,0.13,0.11,0.62,0.08,0.1,,Simon2019ARA&A..57..375S,13.3,2.9,2.9,24.0,1.9,1.9,Munoz2018ApJ...860...66M,8.34,0.34,0.34,0.47,0.08,0.08,Munoz2018ApJ...860...66M,,,,,,,,,,,,3.11,Putman2021ApJ...913...53P,-5.140000000000001,0.38,0.38,4.289029995663982,97.27472237769662,5.652673365496511,6.00141819844319,159.36239294585368,54.42675814621375,52.47113380640866,80.97253850628445,-12.353126672069275,101.9243923039071,770.0522495569446,388.0255275840277,101.9243923039071,,3.8409356751419024,-2.16,0.13,0.11,spectroscopic,-5.637330791856243,0.29829845651021714,6785441.9590359,1802290.715892788,2215274.270800405,,235.09573376020697,16.989303235355294,19.020836389696683,149.82795506572197,11.1355134319289,11.71071626486389,29.308575705201207
ursa_major_2,132.8726,63.1335,Ursa Major II,mw,1,1,13.8,0.5,0.5,-76.0,2.0,2.0,0.56,0.03,0.03,,Munoz2018ApJ...860...66M,17.7,0.13,0.13,DallOra2012ApJ...752...42D,13.28,0.26,0.26,Munoz2018ApJ...860...66M,-116.5,1.9,1.9,6.7,1.4,1.4,,Simon2007ApJ...670..313S,1.731,0.021,0.021,-1.906,0.025,0.024,Pace2022ApJ...940..136P,-2.23,0.24,0.21,0.67,0.15,0.2,,Simon2019ARA&A..57..375S,11.7,1.2,1.2,59.8,3.1,3.1,Munoz2018ApJ...860...66M,13.95,0.46,0.46,0.89,0.1,0.1,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.31,Spekkens2014ApJ...795L...5S,-4.42,0.26,0.26,4.001029995663981,34.673685045253166,2.0149018280195676,2.1392123189999595,152.4603049537961,37.441006181272634,26.580870510371174,21.740536665776148,-4.803209657337068,40.80147362541073,762.778358993906,375.3119048688284,40.80147362541073,,1.9435369799493367,-2.23,0.24,0.21,spectroscopic,-30.690532530710172,-2.7216069807150802,3844154.4787620045,1438574.7006974625,1796997.6836433914,,138.76550634777834,9.363208243400834,9.959194206766114,91.92581412923235,7.002606300891557,7.305893780933715,28.96779549867681
ursa_major_3,174.70749999999995,31.078333333333333,Ursa Major III,mw,1,0,0.9,0.3,0.4,169.0,12.0,18.0,0.5,0.3,0.2,,Smith2024ApJ...961...92S,15.0,0.2,0.2,Smith2024ApJ...961...92S,17.2,0.3,0.4,Smith2024ApJ...961...92S,88.6,1.3,1.3,3.7,1.0,1.4,,Smith2024ApJ...961...92S,-0.75,0.09,0.09,1.15,0.14,0.14,Smith2024ApJ...961...92S,,,,,,,,,,,,,,,,,,,,,,,12.0,,,Smith2024ApJ...961...92S,-2.2,,,Smith2024ApJ...961...92S,,,,,,2.1999999999999993,0.3,0.4,1.3530299956639815,10.0,0.8798916064409035,0.96478196143185,194.61641409933924,73.67655527359207,1.520607681993564,9.79878109808392,-1.2929196685391595,14.49637420163211,779.0906796386876,391.00233874224557,14.49637420163211,,,-2.2,,,photometric,75.13903345560466,49.60545068515177,20063.499167949198,12916.568605951921,23201.51738160205,,2.6015812998659937,1.0456470120124146,1.0990488129256386,1.7724644871183801,0.820990422940048,0.8659422216842882,27.013500851661817
ursa_minor_1,227.242,67.2221,Ursa Minor,mw,1,1,18.3,0.11,0.11,50.0,1.0,1.0,0.55,0.01,0.01,,Munoz2018ApJ...860...66M,19.1,,,Nemec1988AJ.....96..528N,10.37,0.05,0.05,Munoz2018ApJ...860...66M,-247.0,0.4,0.4,8.6,0.3,0.3,,Spencer2018AJ....156..257S,-0.12,0.005,0.005,0.071,0.005,0.005,Pace2022ApJ...940..136P,-2.13,0.02,0.02,0.35,0.01,0.01,,Pace2020MNRAS.495.3022P,13.53,0.3,0.3,77.3,0.7,0.7,Munoz2018ApJ...860...66M,17.32,0.11,0.11,0.82,0.01,0.01,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.046,Spekkens2014ApJ...795L...5S,-8.730000000000002,0.05,0.05,5.7250299956639825,66.06934480075965,,,104.98172790206694,44.812555288660256,39.579356243949746,43.51824713441487,30.079811303666347,68.0290187213928,754.0066347339854,368.4949951136928,68.0290187213928,,1.674933117796639,-2.13,0.02,0.02,spectroscopic,-75.57230660813715,-43.77826088274429,16225508.494612465,1121794.4089290686,1167178.5899595004,,351.7718456847078,2.0151024264388298,2.1686928494064546,235.82279055587924,2.9793687389530987,3.197461770827374,26.703532811468534
virgo_1,180.038,-0.681,Virgo I,mw,1,0,1.76,0.4,0.49,62.0,13.0,8.0,0.59,0.14,0.12,,Homma2018PASJ...70S..18H,19.8,0.2,0.2,Homma2024PASJ...76..733H,18.9,0.65,0.72,Homma2024PASJ...76..733H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,Putman2021ApJ...913...53P,-0.9000000000000021,0.65,0.72,2.5930299956639824,91.20108393559097,8.02470682532389,8.798916064409028,276.9419372673612,59.57767883914041,-35.15429389379064,81.46299552758288,-21.109090258197213,91.06557399369518,846.5073732230148,460.20081684856564,91.06557399369518,,2.9453877998904074,,,,,,,,,,,46.053515143288934,11.977389368520662,12.545831696094083,28.401258939772724,8.393298983094827,9.636324882146333,29.937301048860064
virgo_2,225.059,5.909,Virgo II,mw,1,0,0.74,0.11,0.13,,,,,,,0.3,Cerny2023ApJ...953....1C,19.3,0.22,0.22,Cerny2023ApJ...953....1C,17.7,0.6,0.4,Cerny2023ApJ...953....1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9,,,Cerny2023ApJ...953....1C,,,,,,-1.6000000000000014,0.6,0.4,2.873029995663982,72.44359600749905,6.979978600771446,7.72421033126885,4.066533497147234,52.75428297778301,-30.071884763734744,53.80561654415282,38.06194920859911,67.84992134648984,818.2752631982979,432.1471750182744,67.84992134648984,,,-1.9,,,photometric,,,,,,,15.548024542492811,3.137873080039771,3.305010029611008,15.54241951486032,2.902034538322969,3.1791480011473894,27.928206264167535
virgo_3,186.348,4.441,Virgo III,mw,0,0,1.0,0.2,0.2,-24.0,26.0,21.0,0.29,0.19,0.15,,Homma2024PASJ...76..733H,20.9,0.2,0.2,Homma2024PASJ...76..733H,18.21,0.56,0.45,Homma2024PASJ...76..733H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6899999999999977,0.56,0.45,3.3090299956639804,151.35612484362073,13.317698383332356,14.602565900135232,286.4758771771316,66.47700838729504,-51.83785971490198,141.3494173641533,-15.551689254555003,150.65306136417198,888.2893575941175,505.29216990616555,150.65306136417198,,,,,,,,,,,,,44.15554358190495,9.920032875806314,9.427729226984845,35.504917104719055,8.350700724698573,9.593086926458895,28.632055637289668
willman_1,162.3436,51.0501,Willman 1,mw,1,1,2.51,0.22,0.22,73.0,4.0,4.0,0.47,0.06,0.06,,Munoz2018ApJ...860...66M,17.9,0.4,0.4,Willman2006astro.ph..3486W,15.37,0.74,0.74,Munoz2018ApJ...860...66M,-14.1,1.0,1.0,4.0,0.8,0.8,,Willman2011AJ....142..128W,0.255,0.087,0.077,-1.11,0.091,0.095,Pace2022ApJ...940..136P,-2.19,0.08,0.08,,,,,Willman2011AJ....142..128W,,,,,,,,2.53,0.22,0.22,1.34,0.2,0.2,Munoz2018ApJ...860...66M,,,,,,,,,,,,10.9,Putman2021ApJ...913...53P,-2.5299999999999994,0.74,0.74,3.245029995663981,38.01893963205613,6.396163030372339,7.689879329431292,158.5728619431802,56.783292838555305,19.41717701405877,32.44270891513953,-3.985429186193395,42.735682190274176,773.4838167577316,386.2684512622623,42.735682190274176,,3.569601784055688,-2.19,0.08,0.08,spectroscopic,34.98087887627061,38.87026631518161,291086.96705467894,114019.00948960445,154185.75152338448,,27.538963729318517,5.540225487652638,5.568224409817425,19.917833212448294,3.9612482172973635,4.26012495632428,27.536823420201546
andromeda_01,11.41542,38.0375,Andromeda I,m_031,1,1,3.9,0.1,0.1,30.0,4.0,4.0,0.28,0.03,0.03,,Martin2016ApJ...833..167M,24.45,0.05,0.05,Savino2022ApJ...938..101S,13.1,0.2,0.2,Martin2016ApJ...833..167M,-376.3,2.2,2.2,10.2,1.9,1.9,,Tollerud2012ApJ...752...45T,,,,,,,,-1.51,0.02,0.02,0.34,,,,Kirby2020AJ....159...46K,2.7,0.3,0.3,10.4,0.9,0.9,McConnachie2006MNRAS.365.1263M,,,,,,,,,,,,,,,,,,,0.57,Putman2021ApJ...913...53P,-11.35,0.2,0.2,6.773029995663982,776.2471166286912,17.669541599507625,18.081118095591023,121.67885760359758,-24.82019346403027,678.2889791183757,-344.8419632651241,153.51764475904207,780.1511197571956,44.38948258885224,389.4140975860844,44.38948258885224,,4.908050141787555,-1.51,0.02,0.02,spectroscopic,-196.0138225164826,-116.03396301449425,72016681.54032654,23998624.521933414,29046840.49700558,,879.4594677590634,31.062279201521733,29.15946402193947,745.8980465685809,27.19047699930752,30.88918787224702,26.584009842615366
andromeda_02,19.11167,33.43528,Andromeda II,m_031,1,1,5.3,0.1,0.1,31.0,5.0,5.0,0.16,0.02,0.02,,Martin2016ApJ...833..167M,24.12,0.05,0.05,Savino2022ApJ...938..101S,12.4,0.2,0.2,Martin2016ApJ...833..167M,-192.4,0.5,0.5,7.8,1.1,1.1,,Ho2012ApJ...758..124H,,,,,,,,-1.47,0.006,0.006,,,,,Wojno2020ApJ...895...78W,5.2,0.2,0.2,22.0,1.0,1.0,McConnachie2006MNRAS.365.1263M,,,,,,,,,,,,,,,,,,,0.44,Putman2021ApJ...913...53P,-11.72,0.2,0.2,6.921029995663982,666.8067692136218,15.17837515277904,15.531924928048625,128.90482165054615,-29.146259946903566,576.0305341832269,-332.225638935945,49.45923565217722,671.2960857053772,169.2391583143796,293.2734438654211,169.2391583143796,,4.663627962601251,-1.47,0.006,0.006,spectroscopic,-36.34158125202444,41.33934094902108,53220158.622477606,13811040.955853075,16246917.799920037,,1025.4330181292726,31.26810142863644,29.880449940205835,940.1891181514151,29.27866072702136,29.777049570093936,26.716687824592732
