key,confirmed_real,confirmed_star_cluster,ra,dec,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_em,distance,distance_em,distance_ep,ref_distance,rhalf_physical,rhalf_sph_physical,apparent_magnitude_V,apparent_magnitude_V_em,apparent_magnitude_V_ep,MV,MV_em,MV_ep,ref_mv,surface_brightness_rhalf,surface_brightness_rhalf_em,surface_brightness_rhalf_ep,ref_surface_brightness,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_upper_limit,ref_vlos,,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity,metallicity_em,metallicity_ep,metallicity_sigma,metallicity_sigma_em,metallicity_sigma_ep,metallicity_sigma_ul,ref_metallicity,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,king_concentration,king_concentration_em,king_concentration_ep,ref_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_sersic,age,age_em,age_ep,ref_age,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,ref_metallicity_photometric
ngc_1261,1,1,48.067543,-55.216225,0.68,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,16.074,0.025,0.025,16.4,0.19,0.192,Baumgardt2021MNRAS.505.5957B,3.243985303,3.243985303,8.28,0.04,0.04,-7.794,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,71.34,0.21,0.21,,,,,Baumgardt2018MNRAS.478.1520B,,1.5957,0.0249,0.0249,-2.0642,0.0251,0.0251,Vasiliev2021MNRAS.505.5978V,-1.27,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_1851,1,1,78.52816,-40.046555,0.5,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,15.387,0.024,0.024,11.951,0.133,0.134,Baumgardt2021MNRAS.505.5957B,1.738202491,1.738202491,7.01,0.04,0.04,-8.377,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,321.4,1.55,1.55,,,,,Baumgardt2018MNRAS.478.1520B,,2.1452,0.024,0.024,-0.6496,0.0242,0.0242,Vasiliev2021MNRAS.505.5978V,-1.18,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_1904,1,1,81.045837,-24.524416,0.68,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,15.583,0.03,0.03,13.078,0.179,0.181,Baumgardt2021MNRAS.505.5957B,2.586880475,2.586880475,7.91,0.04,0.04,-7.673,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,205.76,0.2,0.2,,,,,Baumgardt2018MNRAS.478.1520B,,2.469,0.0249,0.0249,-1.5938,0.0251,0.0251,Vasiliev2021MNRAS.505.5978V,-1.6,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_2298,1,1,102.247543,-36.005306,0.84,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.962,0.037,0.037,9.828,0.167,0.17,Baumgardt2021MNRAS.505.5957B,2.401433424,2.401433424,8.63,0.03,0.03,-6.332,0.03,0.03,Baumgardt2020PASA...37...46B,,,,,147.15,0.57,0.57,,,,,Baumgardt2018MNRAS.478.1520B,,3.3195,0.0255,0.0255,-2.1755,0.0256,0.0256,Vasiliev2021MNRAS.505.5978V,-1.92,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_2419,1,1,114.535286,38.881944,0.77,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,19.734,0.059,0.059,88.471,2.371,2.437,Baumgardt2021MNRAS.505.5957B,19.81608145,19.81608145,10.35,0.03,0.03,-9.384,0.03,0.03,Baumgardt2020PASA...37...46B,,,,,-21.1,0.31,0.31,,,,,Baumgardt2018MNRAS.478.1520B,,0.0073,0.0278,0.0278,-0.5226,0.0264,0.0264,Vasiliev2021MNRAS.505.5978V,-2.15,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,1.07,0.01,0.01,1.71,0.02,0.02,Munoz2018ApJ...860...66M,,,,,,,,
ngc_2808,1,1,138.012909,-64.863495,0.84,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,15.013,0.024,0.024,10.06,0.111,0.112,Baumgardt2021MNRAS.505.5957B,2.458121719,2.458121719,5.45,0.04,0.04,-9.563,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,103.57,0.27,0.27,,,,,Baumgardt2018MNRAS.478.1520B,,0.9944,0.0238,0.0238,0.2734,0.024,0.024,Vasiliev2021MNRAS.505.5978V,-1.14,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_288,1,1,13.1885,-26.582611,2.23,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.768,0.021,0.021,8.988,0.088,0.089,Baumgardt2021MNRAS.505.5957B,5.830342179,5.830342179,8.01,0.04,0.04,-6.758,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,-44.45,0.13,0.13,,,,,Baumgardt2018MNRAS.478.1520B,,4.1641,0.0241,0.0241,-5.7053,0.0243,0.0243,Vasiliev2021MNRAS.505.5978V,-1.32,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_3201,1,1,154.403427,-46.412476,3.75,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,13.378,0.019,0.02,4.737,0.042,0.043,Baumgardt2021MNRAS.505.5957B,5.167265417,5.167265417,6.03,0.04,0.04,-7.348,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,493.65,0.21,0.21,,,,,Baumgardt2018MNRAS.478.1520B,,8.3476,0.022,0.022,-1.9575,0.0221,0.0221,Vasiliev2021MNRAS.505.5978V,-1.59,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_362,1,1,15.809416,-70.848778,0.86,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.73,0.024,0.023,8.829,0.096,0.096,Baumgardt2021MNRAS.505.5957B,2.208696715,2.208696715,6.32,0.03,0.03,-8.41,0.03,0.03,Baumgardt2020PASA...37...46B,,,,,223.12,0.28,0.28,,,,,Baumgardt2018MNRAS.478.1520B,,6.6935,0.0245,0.0245,-2.5354,0.0242,0.0242,Vasiliev2021MNRAS.505.5978V,-1.26,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_4147,1,1,182.52626,18.542639,0.47,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,16.34,0.025,0.025,18.535,0.212,0.214,Baumgardt2021MNRAS.505.5957B,2.534058085,2.534058085,10.23,0.04,0.04,-6.11,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,179.35,0.31,0.31,,,,,Baumgardt2018MNRAS.478.1520B,,-1.707,0.0273,0.0273,-2.0896,0.0274,0.0274,Vasiliev2021MNRAS.505.5978V,-1.8,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
