key,host,confirmed_real,confirmed_star_cluster,ra,dec,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,distance,distance_em,distance_ep,ref_distance,rhalf_physical,rhalf_sph_physical,apparent_magnitude_V,apparent_magnitude_V_em,apparent_magnitude_V_ep,MV,MV_em,MV_ep,ref_mv,surface_brightness_rhalf,surface_brightness_rhalf_em,surface_brightness_rhalf_ep,ref_surface_brightness,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity,metallicity_em,metallicity_ep,metallicity_sigma,metallicity_sigma_em,metallicity_sigma_ep,metallicity_sigma_ul,ref_metallicity,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,king_concentration,king_concentration_em,king_concentration_ep,ref_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_sersic,age,age_em,age_ep,ref_age,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,ref_metallicity_photometric
koposov_1,MW,1,1,179.8253000,12.2615000,0.62,0.18,0.18,7,21,21,0.45,0.15,0.15,,Munoz2018ApJ...860...66M,18.42,,,48.3,,,Munoz2018ApJ...860...66M,8.710938297,6.460204742,17.38,0.69,0.69,-1.04,0.69,0.69,Munoz2018ApJ...860...66M,27.5,1.17,1.31,Munoz2018ApJ...860...66M,,,,,,,,,-1.513,0.135,0.135,-0.814,0.105,0.105,Vasiliev2021MNRAS.505.5978V,,,,,,,,,0.29,0.12,0.12,4.3,2.1,2.1,,,,Munoz2018ApJ...860...66M,0.72,0.18,0.18,1.27,0.56,0.56,Munoz2018ApJ...860...66M,,,,,,,,
koposov_2,MW,1,1,119.5715000,26.2574000,0.44,0.07,0.07,-35,18,18,0.43,0.14,0.14,,Munoz2018ApJ...860...66M,17.7,,,34.7,,,Munoz2018ApJ...860...66M,4.44128117,3.353093751,16.78,0.81,0.81,-0.92,0.81,0.81,Munoz2018ApJ...860...66M,25.96,1.22,1.32,Munoz2018ApJ...860...66M,,,,,,,,,-0.601,0.189,0.189,-0.025,0.189,0.189,Vasiliev2021MNRAS.505.5978V,,,,,,,,,0.23,0.14,0.14,2.93,1.89,1.89,,,,Munoz2018ApJ...860...66M,0.43,0.09,0.09,1.35,0.7,0.7,Munoz2018ApJ...860...66M,,,,,,,,
laevens_3,MW,1,1,316.7293802,14.9843999,0.64,0.05,0.05,72,17,24,0.11,0.11,0.09,, Longeard2019MNRAS.490.1498L,18.94,0.02,0.05,61.4,1,1.2, Longeard2019MNRAS.490.1498L,11.43074305,10.78374142,16.14,0.3,0.2,-2.80,0.3,0.2, Longeard2019MNRAS.490.1498L,25,0.3,0.3, Longeard2019MNRAS.490.1498L,-70.2,0.5,0.5,,,,, Longeard2019MNRAS.490.1498L,0.172,0.101,0.101,-0.666,0.08,0.08,Vasiliev2021MNRAS.505.5978V,-1.8,0.1,0.1,,,,, Longeard2019MNRAS.490.1498L,,,,,,,,,,,,,,,,,,13,1,1, Longeard2019MNRAS.490.1498L,,,,
munoz_1,MW,1,0,225.4490000,66.9682000,0.49,0.15,0.15,139,46,46,0.34,0.17,0.17,,Munoz2018ApJ...860...66M,18.27,0.26,0.23,45,5,5,Munoz2012ApJ...753L..15M,6.414085001,5.210827288,17.87,0.97,0.97,-0.40,0.97,0.97,Munoz2018ApJ...860...66M,30.07,1.34,1.42,Munoz2018ApJ...860...66M,-137,4,4,,,,4.7,Munoz2012ApJ...753L..15M,-0.1,0.203,0.203,-0.02,0.207,0.207,Vasiliev2021MNRAS.505.5978V,-1.46,0.32,0.32,,,,,Munoz2012ApJ...753L..15M,0.24,0.23,0.23,4.43,1.93,1.93,,,,Munoz2018ApJ...860...66M,1.7,0.32,0.32,1.89,0.31,0.31,Munoz2018ApJ...860...66M,,,,,,,,
ps1_1,MW,0,0,289.1712100,-27.8272100,0.55,,,,,,,,,,Torrealba2019MNRAS.484.2181T,17.4,,,29.6,,,Torrealba2019MNRAS.484.2181T,4.735660037,4.735660037,15.5,,,-1.90,,,Torrealba2019MNRAS.484.2181T,25,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sagittarius_2,MW,1,1,298.16875,-22.06805556,1.6,0.1,0.1,,,,,,,0.1,MutluPakdil2018ApJ...863...25M,19.2,0.2,0.2,70.2,5,5,MutluPakdil2018ApJ...863...25M,32.6725636,32.6725636,14,0.1,0.1,-5.20,0.1,0.1,MutluPakdil2018ApJ...863...25M,25.9,,,internal,-177.2,0.6,0.5,1.7,0.5,0.5,,Longeard2021MNRAS.503.2754L,-0.769,0.035,0.035,-0.903,0.023,0.022,Pace2022ApJ...940..136P,-2.23,0.07,0.07,,,,0.2,Longeard2021MNRAS.503.2754L,,,,,,,,,,,,,,,,,,,,,,,,,
segue_3,MW,1,1,320.3792500,19.1176944,0.433,0.0833,0.0833,33,36,36,0.23,0.11,0.11,,Fadely2011AJ....142...88F,16.14,0.09,0.09,16.9,0.7,0.7,Fadely2011AJ....142...88F,2.128632645,1.867867565,16.08,0.78,0.078,-0.06,0.78,0.078,Fadely2011AJ....142...88F,26.31,1.02,1.09,Munoz2018ApJ...860...66M,-167,,,1.2,2.6,,,Fadely2011AJ....142...88F,-0.981,0.121,0.121,-1.667,0.081,0.081,Vasiliev2021MNRAS.505.5978V,,,,,,,,,0.27,0.12,0.12,3.46,0.86,0.86,,,,Munoz2018ApJ...860...66M,0.52,0.09,0.09,1.3,0.3,0.3,Munoz2018ApJ...860...66M,12,0.4,1.5,Fadely2011AJ....142...88F,-1.7,0.27,0.07,Fadely2011AJ....142...88F
smash_1,MW,0,0,95.2496000,-80.3966000,0.57,0.18,0.32,-24,16,16,0.62,0.21,0.17,,Martin2016ApJ...830L..10M,18.8,,,57,,,Martin2016ApJ...830L..10M,9.4509579,5.825961722,17.8,0.9,0.9,-1.00,0.9,0.9,Martin2016ApJ...830L..10M,26.4,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to_1,MW,0,0,56.0825500,-69.4225500,0.27,,,,,,,,,,Torrealba2019MNRAS.484.2181T,18.2,,,43.6,,,Torrealba2019MNRAS.484.2181T,3.424335992,3.424335992,16.6,,,-1.60,,,Torrealba2019MNRAS.484.2181T,24.6,,,internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ymca_1,MW,1,0,110.8378000,-64.8319000,0.2167948414,0.03097069163,0.03097069163,,,,,,,,Gatto2022ApJ...929L..21G,18.72,0.17,0.15,55.5,4.2,4,Gatto2022ApJ...929L..21G,3.5,3.5,18.25,0.57,0.57,-0.47,0.57,0.57,Gatto2022ApJ...929L..21G,25.8,,,internal,,,,,,,,,1.044,0.402,0.402,1.107,0.209,0.209,Piatti2022MNRAS.515.4005P,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,1.3,1.7,Gatto2022ApJ...929L..21G,-1.12,0.13,0.21,Gatto2022ApJ...929L..21G
